ID,Source,Who,Type,Discipline,Year,URL,KeyData,AUTH,SPEC,INDP,RCNT,VRFY,MTCH,ADOPT,Total,Tier
R011,AdventurePPC — 6 Workflows That Replace Freelancer Contracts,AdventurePPC (independent PPC agency / consultancy) · Operating PPC agency publishing practitioner case studies on its own work,PRACTITIONER,GADS+CROSS,2026,https://www.adventureppc.com/blog/6-claude-code-workflows-that-replace-entire-freelancer-contracts-for-marketing-teams,Reporting contractor $1.5-6k; content strategist $80-200/hr; copywriter $2-5k/mo; RevOps $5-15k; analyst $1-3k/mo; email specialist $3-8k/campaign,4,5,4,5,3,5,3,29,A
R012,AdventurePPC — Claude Code for PPC Professionals,AdventurePPC · Same author as R011 — operating PPC agency,PRACTITIONER,GADS,2026,https://www.adventureppc.com/blog/claude-code-for-ppc-professionals-automating-campaign-management-with-ai,"5 PPC projects; setup 8-15hr first week; weekly savings 10+hr/account; Python (google-ads, pandas, plotly) + SMTP + Sheets approval",4,5,4,5,3,5,3,29,A
R013,Stormy AI — Performance Marketing Playbook,Stormy AI (newer marketing-AI publication; identity behind operation less established than legacy agencies) · Practitioner-blog publisher in the AI-marketing space,PRACTITIONER,GADS+META,2026,https://stormy.ai/blog/claude-code-for-performance-marketing-playbook,Vibe Querying 30min→15s; multi-platform audit 8h→2h (75% reduction); Liapakis 30-day autonomous Meta; TrueClicks+GAQL.app+n8n stack,3,5,3,5,3,5,2,26,B
R014,Ryze AI — 10 Claude Code Marketing Workflows,Ryze AI (newer practitioner blog/tool brand) · Practitioner-blog,PRACTITIONER,GADS+META,2026,https://www.get-ryze.ai/blog/claude-code-marketing-workflows-google-meta-ads,"10 fully-specified workflows: audits, weekly reports, pacing, anomaly detection, search term mining, etc.",3,5,3,5,2,5,2,25,B
R015,HeyOz — 10 Claude Code Skills for Meta Ads,HeyOz (practitioner publication focused on AI ops for marketing) · Practitioner focused on Meta Ads + ad-ops automation,PRACTITIONER,META,2026,https://heyoz.com/blogs/claude-code-skills-for-meta-ads,"10 slash commands /spy /bulk-creative /deploy-ads /bleed-check /fatigue-scan /rebalance /setup-capi /hooks /audience-audit /weekly-report; aggregate 25-30hr/wk recovered = $2,500-4,500/wk",2,5,3,5,4,5,2,26,B
R016,Adspirer — Run Facebook & Instagram Ads with Claude Code Agent,Adspirer (Meta MCP server vendor) · Vendor of an MCP server that bridges Claude to Meta Ads,VENDOR,META,2026,https://www.adspirer.com/blog/meta-ads-claude-code-agent,MCP for Meta Ads; daily health check; CTR decay monitoring; 7-day perf data formatted to standard template (3hr→4min),3,4,2,5,4,5,3,26,B
R017,PorterMetrics — 5 ways to connect Meta Ads to Claude (no ban),PorterMetrics (established marketing-data ETL vendor) · Marketing data connector vendor,VENDOR,META,2026,https://portermetrics.com/en/tutorial/claude/chat-meta-ads/,5 connection methods graded by ban risk; Adspirer/GrowthSpree/Windsor recommended; Cowork sandbox safest for ad-hoc,4,4,2,5,4,5,4,28,A
R018,Michael Patrick Cortez — Claude AI for SEO 2026 Guide,"Michael Patrick Cortez (named SEO consultant, traceable identity) · Solo SEO practitioner with consulting practice",PRACTITIONER,SEO,2026,https://michaelpatrickcortez.com/blog/claude-ai-for-seo/,7 named workflows; CTR audit 2-3h→90s; cannibalization 3-4h→2min; content gap 4-5h→5min; tech audit 3-6h→10min; monthly billable 20-30→6-8 hrs,3,5,4,5,2,5,2,26,B
R019,SE Ranking — Claude Code & SE Ranking MCP,SE Ranking (established SEO tool vendor; mid-tier alternative to Ahrefs/Semrush) · Mid-tier SEO platform vendor,VENDOR,SEO+ANALYTICS,2026,https://seranking.com/blog/claude-code-for-seo/,Content brief 3-4h senior→<10min; backlink analysis full day→minutes; AI search visibility reporting across ChatGPT/Perplexity/Gemini/AIO,4,5,2,5,4,5,4,29,A
R020,MKT1 — 4 Gen Marketers + Claude Code Builds,"Emily Kramer (MKT1 newsletter; ex-Asana CMO, ex-Carta head of marketing, advisor) · Senior marketing operator + advisor + newsletter publisher",PRACTITIONER,CROSS+META,2026,https://newsletter.mkt1.co/p/real-marketers-claude-code-builds,Emily Kramer (positioning checker); Elaine Zelby Tofu (lookalike outbound); Aditya Vempaty MoEngage Series F (humanizer skill); Kamil Rextin 42Agency (LinkedIn ad intel 5min vs hours),4,5,4,5,3,4,4,29,A
R021,Emily Kramer (MKT1) — Build marketing strategy in Claude (7-step skill),Emily Kramer (MKT1) · Same author as R020,PRACTITIONER,BRAND,2026,https://newsletter.mkt1.co/p/build-marketing-strategy-skill-in-claude-code,7 sequential exercises: company overview→ICP→advantages→perceptions→positioning→revenue levers→big bets; MKT1 MCP server automates entire process,4,5,4,5,4,4,4,30,A
R022,Stack and Scale — Claude Code Playbook for Marketers,"""Brandon"" (Stack and Scale; first-name attribution, less verifiable) · Practitioner-blog publisher",PRACTITIONER,BRAND+CROSS,2026,https://www.stackandscale.ai/p/the-claude-code-playbook-for-marketers,"Brandon's 47 marketing automations; competitive brief 90→10min; content repurposing afternoon→15min/blog; exec deck 90→5-15min; CAC -28%, ad spend -23%",3,5,3,5,2,4,2,24,B
R023,Animalz — Claude Code for Content Marketers,"Animalz (established content marketing agency, founded by Jimmy Daly) · Operating content marketing agency since ~2015",PRACTITIONER,CONTENT,2026,https://www.animalz.co/blog/claude-code,6 slash commands: /write (8-phase article); /copywrite (7-phase); /design-reference; /image-prompt; /generate-style-guide; /style-check,4,5,4,5,3,3,4,28,A
R024,Improvado — Claude Marketing Skills,Improvado (~$30M+ funded marketing-data platform) · Marketing-data SaaS vendor with commercial Claude integration,VENDOR,ANALYTICS+MOPS,2026,https://improvado.io/blog/claude-marketing-skills,"54 skills across 4 funnel stages; 1,000+ data sources; Chacka Marketing 90% reporting reduction; analyst 38hr/wk saved; SoftwareOne 3x ROI",3,4,2,5,3,4,4,25,B
R025,Coupler.io — Claude Code for Marketing Real Use Cases,Coupler.io (Railsware product; established data-integration vendor) · Marketing data connector vendor,VENDOR,CROSS,2026,https://blog.coupler.io/claude-code-for-marketing/,400+ data sources; 4 case studies (Paladiy 5-agent>10; Lau non-coder solo; Firestone 2-3x reply rate; Clancy 3 blogs/wk refresh),3,4,2,5,3,4,4,25,B
R026,Windsor.ai — GA4 Connector for Claude,Windsor.ai (marketing data integration vendor) · Marketing data connector vendor,VENDOR,ANALYTICS,2026,https://windsor.ai/connect/google-analytics-4-to-claude-integration/,480+ GA4 dimensions/metrics; 325+ data sources; no-code MCP wrapper; 30-day free trial,3,4,2,5,4,4,3,25,B
R027,measureu.com — GA4 Audit MCP in 4 Minutes,measureu.com (Charles Farina or similar GA4-specialist consultancy) · Senior GA4 specialist / analytics consultancy,PRACTITIONER,ANALYTICS,2026,https://measureu.com/ga4-audit-mcp/,"3-step prompt sequence; analytics-mcp server; Chrome extension for browser-controlled deep dive; checks: custom dims, channel groupings (incl AI Traffic), enhanced measurement",3,5,4,5,4,4,2,27,B
R028,Lenny's Newsletter (Lenny Rachitsky + Dan Shipper),"Lenny Rachitsky (ex-Airbnb growth, ~600K Substack subs); Dan Shipper (founder, Every newsletter) · Top product newsletter + senior AI/product publisher",MEDIA,CROSS,2026,https://www.lennysnewsletter.com/p/everyone-should-be-using-claude-code,Lenny's 5 personal use cases; non-dev examples (Merschroth invoices; Lindquist outbound; Kupp voice→article; Pember doc auditor); Granola/Fireflies/Linear/Notion via MCPs,5,4,4,5,2,3,5,28,A
R029,Lenny's Newsletter — Head of Claude Code (Boris Cherny),Boris Cherny (Head of Claude Code at Anthropic) interviewed by Lenny Rachitsky · Anthropic executive responsible for Claude Code product,MEDIA,CROSS,2026,https://www.lennysnewsletter.com/p/head-of-claude-code-what-happens,4% of public GitHub commits; daily active users doubling; product principles; counterintuitive design choices that drove growth,5,5,1,5,4,2,5,27,B
R030,Anthropic — Package brand guidelines in a skill,Anthropic (vendor use-case page) · Vendor's official documentation of a usage pattern,VENDOR,BRAND,2026,https://claude.com/resources/use-cases/package-your-brand-guidelines-in-a-skill,"Encode colors, fonts, logos, voice rules into reusable Claude Skill; auto-applies across PDFs/decks/docs; one-time setup",5,3,1,5,4,4,5,27,B
R031,nex.ad — How to make brand show up in Claude answers,nex.ad (newer GEO/AEO tool brand) · Newer GEO/brand-visibility tool publication,PRACTITIONER,BRAND+SEO,2026,https://nex.ad/blog/how-to-make-your-brand-show-up-in-claude-answers,GEO tactics for getting cited in AI answers; entity optimization; schema for AI consumption,3,4,4,5,3,4,2,25,B
R032,Search Engine Land — Claude Skills for PPC,"Search Engine Land (industry pub, owned by Semrush; founded 2006 by Danny Sullivan) · Established industry publication with editorial standards",MEDIA,GADS,2026,https://searchengineland.com/claude-skills-ppc-scalable-systems-474221,Strategic framing: shift from doing PPC work to designing PPC systems; turning prompts into scalable Skills,5,4,4,5,3,5,5,31,S
R033,Search Engine Land — Claude Code as SEO command center,Search Engine Land (same publisher as R032) · Same as R032,MEDIA,SEO,2026,https://searchengineland.com/claude-code-seo-work-470668,SEO-agency framing of Claude Code as central command layer over Ahrefs/Semrush/GSC/Frog data,5,4,4,5,3,5,5,31,S
R034,getmarketingwithai — Marketer's Guide to Claude Code,Sarah Noel Block (named author with consulting practice) · Solo marketing practitioner + Substack publisher,PRACTITIONER,CROSS,2026,https://getmarketingwithai.substack.com/p/the-marketers-guide-to-claude-code,"""If you can write a brief, you can use Claude Code""; ad variants 30min→30s; campaign copy 2hr→15min; 3-tier path Chat→Cowork→Code; role-specific recs",3,5,4,5,2,4,2,25,B
R035,aimaker — Newsletter inside Claude Code,aimaker.substack.com (newer practitioner publication) · Practitioner Substack focused on AI workflows,PRACTITIONER,CONTENT,2026,https://aimaker.substack.com/p/claude-code-newsletter-agentic-system,"~80% of newsletter ops in Claude Code; topic research, drafts, thumbnails, LinkedIn carousels; one-prompt 17-page Substack DNA report",3,5,4,5,2,3,2,24,B
R036,rohitg00/awesome-claude-code-toolkit (marketing-analyst agent),"GitHub user ""rohitg00"" · Independent open-source contributor maintaining a Claude Code toolkit collection",OPEN-SOURCE,ANALYTICS,2026,https://github.com/rohitg00/awesome-claude-code-toolkit,Reusable marketing-analyst agent definition; junior-analyst-replacement persona; toolkit structure for marketing skills,3,4,5,5,5,4,4,30,A
R037,Maven course catalog (Claude Code for non-engineers etc.),"Maven (cohort-based course platform, Series A-funded) hosts multiple instructors · Online course platform with named instructors (not anonymous)",MEDIA,CROSS,2026,https://maven.com/p/747df1/intro-to-claude-code-for-non-engineers,"5+ distinct non-engineer Claude Code tracks (marketers, PMs, beginners, kickstart 2026); demand signal by role",4,3,4,5,4,3,4,27,B
R038,Stormy AI — Google Ads Automation Playbook,Stormy AI (same publisher as R013) · Same author group as R013,PRACTITIONER,GADS,2026,https://stormy.ai/blog/google-ads-automation-claude-code-playbook,Companion to R013; specific Google Ads automation steps; MCP setup; n8n workflows,3,5,3,5,3,5,2,26,B
R039,AdventurePPC — Sarah's Story (zero-code marketer 8-week transformation),AdventurePPC (same publisher as R011/R012) · Same agency author as R011/R012,PRACTITIONER,GADS,2026,https://www.adventureppc.com/blog/from-zero-to-ai-builder-how-one-marketer-learned-claude-code-and-automated-their-entire-workflow,8-week zero-code marketer transformation; 15+ hr/wk saved; 3 custom marketing tools built; first task: Google Ads CSV report (APIs/auth/JSON/CSV),4,4,4,5,2,4,3,26,B
R040,claude-seo.md — Free AI SEO Audit Tool,Tied to AgriciDaniel/claude-seo (R005); same maintainer · Same maintainer as R005,OPEN-SOURCE,SEO,2026,https://claude-seo.md/,Free open-source AI SEO audit tool; alternative to Ahrefs/Semrush/SE Ranking; integrates with claude-seo skill,2,4,4,5,4,5,2,26,B
R041,Anthropic Skilljar — Claude Code in Action (official course),Anthropic (course on Skilljar) · AI-lab vendor official training course,VENDOR,CROSS,2026,https://anthropic.skilljar.com/claude-code-in-action,"4 modules: What is Claude Code · Getting hands-on (setup, project config, context mgmt) · Controlling context (custom commands, MCP+GitHub) · Hooks and the SDK. Free. Quiz + summary assessment.",5,4,1,5,4,3,5,27,B
R042,Built In — Anthropic's Economic Index Shows the AI Skills Gap Is Growing,Matthew Urwin (Built In editorial) · Industry-pub journalist with editorial review,MEDIA,CROSS,2026,https://builtin.com/articles/anthropic-economic-index-2026-ai-jobs-report,API workflows for sales/outreach doubled Nov 2025→Feb 2026. Trading + market ops doubled too. Customer service reps face highest automation risk. Widening skills gap between power users and slow adopters.,5,4,4,5,4,4,4,30,A
R043,HubSpot × MATG — Claude Hacks for Marketers (prompt pack),HubSpot + Marketing Against the Grain podcast · Major MarTech vendor co-branded prompt library,VENDOR,CROSS+CONTENT,2026,https://offers.hubspot.com/claude-hacks-marketers,"Prompt pack (not course/ebook). Topics: content production multi-channel, strategic planning + competitive analysis, data-driven dashboards + reporting, meeting transcription + action items.",5,3,2,5,3,4,5,27,B
R044,MarTech.org — HubSpot adds another CRM connector with Claude,Mike Pastore (Head of Content & Media at MarTech.org) · Senior MarTech industry-publication editor,MEDIA,MOPS,2025,https://martech.org/hubspot-adds-another-crm-connector-this-time-with-claude/,"HubSpot CRM connector for Claude — generates tailored summaries+visualizations from HubSpot data; takes action inside HubSpot (campaign opt, lead engagement). Available all tiers with paid Claude. Privacy reassurance noted.",5,4,4,4,4,4,4,29,A
R045,"MKT1 — State of Marketing Report (100 B2B teams, Part 1)","Emily Kramer (MKT1; ex-Asana CMO, ex-Carta) · Senior marketing operator + newsletter publisher conducting primary research",PRIMARY,CROSS,2026,https://newsletter.mkt1.co/p/state-of-marketing-report-teams-part-1,"100 B2B startups (seed→IPO, AI-skewed). 84% of marketing JDs mention ""AI"". Most-named tools in JDs: OpenAI 10% · Claude 7% · Anthropic 6% · ChatGPT 5%. Median marketing team 13 (mean 44). 4% of headcount median. 87/100 companies have open marketing roles. Only 27/100 have CMOs.",4,5,4,5,4,3,4,29,A
R046,NoCode SaaS — I Got Claude Code to Build My Entire SEO Strategy,James Devonport (NoCode SaaS Substack) · Indie SaaS founder + Substack publisher,PRACTITIONER,SEO,2026,https://www.nocodesaas.io/p/i-got-claude-code-to-build-my-entire,"20-minute SEO strategy: keyword research, competitor analysis, prioritized page list. Tools: Playwright MCP (crawl + markdown export), SerpAPI MCP (live SERP data + volumes). Single founder, own website.",3,4,4,5,3,5,2,26,B
R047,Two Octobers — Connecting to the Google Analytics MCP server with Claude,"Nico Brooks, Head of Analytics at Two Octobers (Denver marketing agency) · Senior analytics lead at established marketing agency",AGENCY,ANALYTICS,2026,https://twooctobers.com/blog/connecting-to-the-google-analytics-mcp-with-claude/,"Official Google Analytics MCP setup. Conversational analytics workflow. Specific recommendations generated: AI content expansion, video scaling, technical SEO. Strategic alignment with business strengths.",4,4,4,5,4,4,3,28,A
R048,Anthropic Economic Index — landing page,Anthropic (vendor landing) · Vendor program landing page (navigation hub for Economic Index reports),PRIMARY,CROSS,2026,https://www.anthropic.com/economic-index,Landing page for Anthropic's Economic Index program. Datasets + reports accessible. Page itself contains no specific marketing data.,5,2,1,5,4,2,5,24,B
R049,Adam Goyette — Free the Marketers (strategic essay on Claude Code adoption),"Adam Goyette (Founder, Growth Union) · Growth-consulting-firm founder; talks to 20–30 companies/month",PRACTITIONER,CROSS,2026,https://adamgoyette.substack.com/p/free-the-marketers,Thesis: 'Building one-off workflows is not the same thing as building scalable systems.' Advisory POV; no specific personal workflows; no quantified outcomes.,4,2,4,5,2,4,2,23,C
R050,"Ruben Hassid — Claude (How to AI newsletter, 290k+ subs)","Ruben Hassid (Founder, How to AI newsletter) · Established AI newsletter creator with massive reach (290k+ subs, hundreds of millions of post views over 3 years)",PRACTITIONER,CROSS+CONTENT,2026,https://ruben.substack.com/p/claude,Personal workflow: markdown files as style/brand DNA. Uses Claude Cowork (not Claude Code). Claude in Excel for spreadsheets. Connectors for Slack/GDrive/Notion. 'Never felt like Cowork was hallucinating' with 1M-token context.,4,4,4,5,3,3,5,28,A
R051,Daria Cupareanu (AI Blew My Mind) — How I Created a Claude Skill So Every Doc Comes Out On-Brand,Daria Cupareanu (AI Blew My Mind Substack) · Solo practitioner / Substack publisher iterating on personal Claude workflows,PRACTITIONER,BRAND,2026,https://aiblewmymind.substack.com/p/how-to-create-claude-brand-skill,"Built personal brand-skill iteratively. Eliminates manual styling on proposals/presentations/PDFs/one-pagers. Works for any starting point (no brand → full brand). Approach: 'opinions, not design experience.'",3,4,4,5,3,4,2,25,B
R052,Mike Thomson (The AI Solopreneur) — I Tried Claude Design's 4 New Features,Mike Thomson (The AI Solopreneur Substack) · Solo newsletter creator targeting newsletters with 0-500 subs scaling to 3000+,PRACTITIONER,CONTENT+BRAND,2026,https://aisolopreneurhub.substack.com/p/i-tried-claude-designs-4-new-features,"Newsletter landing page prototype <10 min (vs '4 hours of work for something that should take 20 min'). Recommends Design Systems first, then prototype. Positions Claude Design as eliminating no-code-template-vs-developer-retainer choice.",3,4,4,5,3,3,2,24,B
R053,Dan Renyi (Electric B2B / Klear) — Is Claude Code Changing Go-To-Market?,"Dan Renyi (Founder, Klear; publisher Electric B2B podcast) · GTM consulting/services-firm founder, 6+ years operating Klear",PRACTITIONER,CROSS,2026,https://electricb2b.substack.com/p/is-claude-code-changing-go-to-market,"Built 'Growth OS' productized GTM service via Claude Code. Pipeline/sales response 'significantly larger than any new service/offering I've ever launched for Klear over the past 6 years.' Stack: Clay, Fullenrich, n8n, CRMs.",4,4,4,5,3,4,2,26,B
R054,Toni (Vibe Product Marketing) — 3 Claude Cowork Workflows for Marketing,Toni (Vibe Product Marketing Substack) · PMM consultant working with startups + enterprises,PRACTITIONER,BRAND+CROSS,2026,https://vibeproductmarketing.substack.com/p/3-claude-cowork-workflows-for-marketing,"Personal workflows: Monday Competitive Brief (8-10 hr/month saved), Friday Performance Report (30-45 min/week), Content Repurposing (4 hr/month). ~15 hr/month total. Tool cost $20-100/month. Cleanest personal ROI calc in dataset.",2,5,4,5,3,4,2,25,B
R055,Anthony Lee — How to Set Up Google Analytics as a Claude Code Skill (LinkedIn Pulse),Anthony Lee (LinkedIn handle aimarketerguy) · Marketing-focused technologist on LinkedIn,PRACTITIONER,ANALYTICS,2026,https://www.linkedin.com/pulse/how-set-up-google-analytics-claude-code-skill-anthony-lee-r0n4e,Built GA Claude Code skill personally. 8 report types (overview/pages/sources/countries/devices/daily/realtime/custom). 4-phase setup: Google Cloud SA → GA4 viewer permission → Python env → local skill files. Validated by commenter.,3,5,4,5,4,4,2,27,B
R056,Dheeraj Sharma (GenAI Unplugged) — Claude Cowork Tutorial: Substack Newsletter Analysis,"Dheeraj Sharma (GenAI Unplugged Substack, 1,100+ subs) · AI systems builder by day, indie product publisher by night",PRACTITIONER,CONTENT,2026,https://genaiunplugged.substack.com/p/claude-cowork-tutorial-substack-newsletter-analysis,17-page newsletter-DNA report from one prompt via Cowork. ~1 hour total. 15-25 min one-time setup (Cowork + Chrome ext + Firecrawl MCP). Workflow handles paywalled content via Jina.ai/built-in fetch fallbacks.,3,5,4,5,4,3,2,26,B
